Absorption (K-edge) for mids: mp-90,mp-19177,mp-510421,mvc-5834,mp-17,mvc-11980,mvc-6931,mvc-2260,mvc-8154,mp-1009555,mp-8633,mp-89,mvc-847,mvc-13999,mp-19091; elements: Cr; smoothing fwhm: 0.0 eV.
Spectra (before any smoothing) are 3rd-order spline interpolations ranged over the intersection of E-axis ranges of site spectra.
mp-1009555 Cr K-edge		mp-17 Cr K-edge		mp-19091 Cr K-edge		mp-19177 Cr K-edge		mp-510421 Cr K-edge		mp-8633 Cr K-edge		mp-89 Cr K-edge		mp-90 Cr K-edge		mvc-11980 Cr K-edge		mvc-13999 Cr K-edge		mvc-2260 Cr K-edge		mvc-5834 Cr K-edge		mvc-6931 Cr K-edge		mvc-8154 Cr K-edge		mvc-847 Cr K-edge	
E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu
5991.995	0.010303186253658453	5998.023	0.025968634609305374	5992.763	0.013536822272497282	5991.876	0.011789742317379054	5991.089	0.03378162180486686	5997.775	0.029216450096168346	5997.751	0.03184305942559153	5998.151	0.02857731842684479	5991.459	0.03029762872707534	5991.514	0.016680271091363986	5992.795	0.01889009672534697	5991.976	0.011777578790136151	5992.194	0.010869780519714881	5991.759	0.010803505190477371	5992.578	0.017203452051520095
5992.272201005025	0.011261970420501692	5998.300140703518	0.02849375544746827	5993.040195979899	0.014596285998285883	5992.1531959798995	0.012758851092862946	5991.366201005025	0.03841646524902498	5998.0522010050245	0.03229759963596485	5998.0281959798995	0.035361174832246614	5998.428195979899	0.03137562052711828	5991.736201005025	0.034499645652021946	5991.791195979899	0.018201783709467064	5993.068427135679	0.021162354274086578	5992.253020100502	0.012742236656097672	5992.471201005025	0.011781950915329962	5992.036195979899	0.011870936985132115	5992.852819095478	0.01903725949361139
5992.5494020100505	0.012473105398192262	5998.577281407035	0.03158178185991493	5993.317391959799	0.01585303821638343	5992.4303919598	0.01395167230219677	5991.6434020100505	0.04430406233629427	5998.32940201005	0.036122030620700324	5998.3053919598	0.039779502697407744	5998.705391959799	0.03482964060003845	5992.01340201005	0.039874760022018764	5992.0683919598	0.020075958040115686	5993.341854271357	0.024218680694729634	5992.530040201004	0.013940699014696752	5992.748402010051	0.012907213968034157	5992.313391959799	0.01322613325562628	5993.127638190956	0.02140855528740198
5992.826603015075	0.014138382386725367	5998.854422110553	0.03561263949630478	5993.594587939699	0.01742242293047399	5992.707587939699	0.015548754015299461	5991.920603015075	0.052279097915152034	5998.606603015075	0.04121794949852552	5998.582587939699	0.045720857269410935	5998.9825879396985	0.03936590935399192	5992.290603015075	0.047250832630988455	5992.345587939699	0.022550597688479952	5993.615281407036	0.028532577954329025	5992.807060301508	0.015532463881995865	5993.025603015076	0.014397810096864734	5992.590587939699	0.015089415856608912	5993.402457286433	0.024615310540514187
5993.1038040201	0.016495175375654047	5999.13156281407	0.04102785282315544	5993.871783919598	0.0194355715603334	5992.984783919598	0.01775904606188814	5992.1978040201	0.06330331100289173	5998.8838040201	0.048198035604341334	5998.859783919598	0.05392006033453297	5999.259783919598	0.045486894005367984	5992.5678040201	0.05758520874094911	5992.622783919598	0.02591259114536258	5993.888708542714	0.03496734829044535	5993.08408040201	0.017711823777272276	5993.302804020101	0.01643256814912609	5992.867783919598	0.017722615684957106	5993.67727638191	0.029180782071645785
5993.381005025126	0.02003809054670485	5999.408703517588	0.048690237399827356	5994.148979899497	0.02213424081448706	5993.261979899497	0.02099561077056971	5992.475005025126	0.0792544778840702	5999.161005025126	0.05827945684841388	5999.136979899497	0.06589885048669619	5999.536979899497	0.054228369769681345	5992.845005025126	0.07277010250401045	5992.899979899497	0.030723560950282877	5994.162135678392	0.04517767682319584	5993.361100502512	0.020877002896056072	5993.580005025126	0.019378105690291185	5993.144979899497	0.021679677665004157	5993.952095477387	0.03605769848585066
5993.658206030151	0.025803666557893557	5999.685844221106	0.06012325515083185	5994.426175879397	0.025926721135802924	5993.539175879398	0.02607686106873987	5992.752206030151	0.10388885891335427	5999.4382060301505	0.07383852347329131	5999.414175879398	0.08456054978972989	5999.814175879397	0.06755759088014396	5993.122206030151	0.09664292285818814	5993.1771758793975	0.037974522029554786	5994.43556281407	0.06145814782080544	5993.638120603015	0.025806925762996747	5993.857206030151	0.02391512260916274	5993.422175879397	0.028037705700532548	5994.226914572865	0.0470321498765737
5993.935407035176	0.03561768561662359	5999.962984924623	0.0785717468248393	5994.703371859297	0.031683661925503245	5993.816371859297	0.03461323153125711	5993.029407035176	0.14363390336223159	5999.715407035175	0.09930079583093031	5999.691371859297	0.1155184186121239	6000.0913718592965	0.08921326128897833	5993.3994070351755	0.13591372404487093	5993.454371859297	0.04975782737099203	5994.708989949749	0.08471618506395188	5993.915140703517	0.03397581852631316	5994.134407035176	0.03144327250033717	5993.699371859297	0.03892156115440199	5994.501733668342	0.06452105145135154
5994.212608040201	0.05202515497202477	6000.240125628141	0.1085618017073398	5994.980567839196	0.040744592363863213	5994.093567839196	0.0487410190218484	5993.306608040201	0.21007655636240077	5999.992608040201	0.1411530241073434	5999.968567839196	0.1663612466417965	6000.368567839196	0.12373626896209086	5993.676608040201	0.20331217811085311	5993.731567839196	0.06895347747779434	5994.982417085427	0.11216744257469421	5994.19216080402	0.04744325871757038	5994.411608040202	0.0439266301667635	5993.976567839196	0.05729040427691849	5994.776552763819	0.08934675094855944
