Absorption (K-edge) for mids: mp-90,mp-19177,mp-510421; elements: Cr; smoothing fwhm: 0.0 eV.
Spectra (before any smoothing) are 3rd-order spline interpolations ranged over the intersection of E-axis ranges of site spectra.
mp-19177 Cr K-edge		mp-510421 Cr K-edge		mp-90 Cr K-edge	
E (eV)	mu	E (eV)	mu	E (eV)	mu
5991.876	0.011789742317379054	5991.089	0.03378162180486686	5998.151	0.02857731842684479
5992.1531959798995	0.012758851092862946	5991.366201005025	0.03841646524902498	5998.428195979899	0.03137562052711828
5992.4303919598	0.01395167230219677	5991.6434020100505	0.04430406233629427	5998.705391959799	0.03482964060003845
5992.707587939699	0.015548754015299461	5991.920603015075	0.052279097915152034	5998.9825879396985	0.03936590935399192
5992.984783919598	0.01775904606188814	5992.1978040201	0.06330331100289173	5999.259783919598	0.045486894005367984
5993.261979899497	0.02099561077056971	5992.475005025126	0.0792544778840702	5999.536979899497	0.054228369769681345
5993.539175879398	0.02607686106873987	5992.752206030151	0.10388885891335427	5999.814175879397	0.06755759088014396
5993.816371859297	0.03461323153125711	5993.029407035176	0.14363390336223159	6000.0913718592965	0.08921326128897833
5994.093567839196	0.0487410190218484	5993.306608040201	0.21007655636240077	6000.368567839196	0.12373626896209086
5994.370763819095	0.06647376972237742	5993.583809045226	0.30593666695269445	6000.645763819095	0.16616569867545317
5994.6479597989955	0.07465722588741651	5993.861010050251	0.4099784542425505	6000.922959798995	0.19357654983470915
5994.925155778895	0.06909705708632104	5994.138211055277	0.4921327002523356	6001.200155778894	0.2049365459750066
5995.202351758794	0.0606090623932485	5994.415412060302	0.5241600169872617	6001.477351758794	0.21416071360466268
5995.479547738693	0.05557222410451564	5994.692613065326	0.5080303555543522	6001.754547738693	0.22734305478081815
5995.7567437185935	0.05573531988323004	5994.969814070352	0.4804169199036453	6002.031743718593	0.24998684903340523
5996.033939698493	0.06157746303752093	5995.247015075377	0.47077577306457363	6002.308939698492	0.2782962767329952
